,Tyska,Svenska
0,Ich,Jag
1,ist,är
2,ich,Jag
3,nicht,inte
4,Sie,Hon
5,du,du
6,das,de
7,die,de
8,es,Det
9,und,och
10,der,de
11,zu,till
12,sie,hon
13,Das,De
14,ein,en
15,in,i
16,wir,vi
17,Du,Du
18,mir,till mig
19,mit,med
20,Was,Vad
21,den,de
22,mich,mig
23,was,Vad
24,auf,på
25,dass,den där
26,er,han
27,eine,ett
28,Es,Det
29,hat,har
30,Wir,Vi
31,Und,Och
32,so,så
33,sind,are
34,von,från
35,dich,du
36,war,var
37,haben,ha
38,für,för
39,Ja,Ja
40,hier,här
41,an,på
42,habe,ha
43,Er,han
44,bin,Jag är
45,wie,Hur
46,noch,fortfarande
47,dir,till dig
48,uns,oss
49,sich,sig
50,Die,De
51,nur,endast
52,einen,en
53,Nein,Nej
54,dem,till
55,ihn,honom
56,auch,också
57,hast,ha
58,sein,vara
59,ihr,henne
60,da,där
61,aus,ut ur
62,kann,burk
63,aber,men
64,Aber,Men
65,schon,redan
66,wenn,om
67,wird,bli
68,um,runt
69,Wie,Hur
70,als,som
71,bist,är du
72,im,i
73,mal,bara
74,doch,men
75,gut,Bra
76,meine,tror
77,jetzt,nu
78,weiß,vit
79,Wenn,Om
80,werden,bli
81,Der,De
82,nach,efter
83,ja,Ja
84,Oh,Åh
85,oder,eller
86,dann,sedan
87,will,vilja
88,mein,min
89,mehr,Mer
90,keine,Nej
91,etwas,något
92,alles,allt
93,muss,måste
94,immer,alltid
95,nichts,ingenting
96,man,ett
97,wieder,igen
98,bei,på
99,hab,ha
100,machen,göra
101,vor,innan
102,Mann,Man
103,ihm,honom
104,einem,en
105,tun,do
106,zum,för
107,können,burk
108,sagen,säga
109,werde,bli
110,denn,sedan
111,Ist,Är
112,Ein,En
113,Warum,Varför
114,einer,ett
115,gehen,gå
116,sehen,ser
117,sehr,mycket
118,geht,går
119,alle,Allt
120,über,ovan
121,müssen,måste
122,diese,detta
123,einfach,helt enkelt
124,euch,du
125,des,av
126,nie,aldrig
127,Also,Så
128,Wo,Var
129,los,Kom igen
130,Zeit,Tid
131,Ihnen,Dem
132,gibt,ger
133,wirklich,verkligen
134,Hey,Hallå
135,Danke,Tack
136,deine,din
137,würde,skulle
138,soll,skall
139,Da,där
140,hatte,ha
141,Hier,Här
142,wissen,kunskap
143,bitte,snälla du
144,viel,mycket
145,Dann,Sedan
146,So,Så
147,gesagt,nämnda
148,Ihr,Henne
149,am,vid
150,kein,Nej
151,Komm,Komma
152,Wer,WHO
153,zurück,lämna tillbaka
154,wurde,blev
155,In,I
156,wollte,efterlyst
157,Frau,Kvinna
158,Leben,Liv
159,wäre,var
160,wo,var
161,damit,med det
162,Nicht,Inte
163,Gott,Gud
164,Leute,människor
165,kannst,burk
166,heute,i dag
167,meinen,tror
168,dieser,detta
169,dein,din
170,kommt,kommer
171,kommen,komma
172,willst,vilja
173,Na,N / a
174,wollen,vilja
175,sicher,säkra
176,ganz,ganska
177,Jetzt,Nu
178,Mein,Min
179,Mr,HERR
180,also,så
181,zur,till
182,Hast,Ha
183,Gut,Bra
184,hätte,ha
185,weil,därför att
186,tut,göra
187,Hallo,Hallå
188,Okay,OK
189,macht,makt
190,waren,var
191,bis,fram tills
192,Vielleicht,Kanske
193,könnte,skulle kunna
194,Eine,Ett
195,Bitte,Snälla du
196,weg,bort
197,seine,hans
198,lassen,tillåta
199,Vater,Far
200,gesehen,sett
201,Nun,Väl
202,gerade,hetero
203,Alles,Allt
204,glaube,tro
205,Tag,Dag
206,ab,bort
207,Geld,Pengar
208,gemacht,gjord
209,nein,Nej
210,Sir,herr
211,sollte,skall
212,sagte,nämnda
213,keinen,Nej
214,durch,genom
215,zwei,två
216,diesen,detta
217,passiert,inträffar
218,wohl,förmodligen
219,vielleicht,kanske
220,ihre,henne
221,Mutter,Mor
222,reden,prata
223,anderen,andra
224,dachte,trodde
225,daß,den där
226,möchte,skulle vilja
227,wirst,bli
228,gehört,hörd
229,weißt,vit
230,raus,ut
231,Meine,Tror
232,paar,par
233,besser,bättre
234,ob,om
235,her,från
236,musst,måste
237,Ordnung,Beställa
238,meiner,mina
239,klar,klar
240,ihnen,dem
241,Los,Kom igen
242,diesem,detta
243,meinem,min
244,lange,längtar
245,Lass,Låta
246,dieses,detta
247,helfen,hjälp
248,unsere,vår
249,Weg,Bort
250,selbst,själv
251,Nur,Endast
252,finden,hitta
253,Mal,Bara
254,jemand,någon
255,denke,tror
256,Ach,Åh
257,Nacht,Natt
258,genau,Exakt
259,gar,även
260,sagt,säger
261,Welt,Värld
262,Auf,På
263,Mädchen,Flicka
264,ins,in i
265,hin,där
266,vom,från
267,schön,trevlig
268,warum,Varför
269,weiter,ytterligare
270,Leid,Sorg
271,gleich,även
272,Man,Ett
273,ohne,utan
274,Menschen,människor
275,deinen,din
276,leid,sorg
277,Wieso,Hurså
278,dort,där
279,Als,Som
280,Hause,Hem
281,sollten,skall
282,davon,av det
283,zusammen,tillsammans
284,geben,ge
285,Ok,OK
286,Hör,Lyssnande
287,machst,göra
288,Freund,Vän
289,richtig,korrekt
290,Angst,Rädsla
291,Bist,Är du
292,Tut,Göra
293,Mit,Med
294,viele,många
295,sieht,se sig
296,Haus,Hus
297,tot,död
298,sollen,skall
